fighter_name
Gilbert Burns
Mike Malott
Charles Jourdain
Kyler Phillips
Jasmine Jasudavicius
Karine Silva
Mandel Nallo
Jai Herbert
Thiago Moises
Gauge Young
Dennis Buzukja
Marcio Barbosa
Julien Leblanc
Robert Valentin
Tanner Boser
Gokhan Saricam
Melissa Croden
Daria Zhelezniakova
DongHun Choi
Andre Lima
JJ Aldrich
Jamey-Lyn Horth
Mitch Raposo
Allan Nascimento
John Castaneda
Mark Vologdin
Jamie Siraj
John Yannis
