fighter_name
Jiri Prochazka
Carlos Ulberg
Joshua Van
Tatsuro Taira
Curtis Blaydes
Josh Hokit
Beneil Dariush
Manuel Torres
Dominick Reyes
Johnny Walker
Azamat Murzakanov
Paulo Costa
Cub Swanson
Nate Landwehr
Patricio Pitbull
Aaron Pico
Mateusz Gamrot
Esteban Ribovics
Kevin Holland
Randy Brown
Tatiana Suarez
Loopy Godinez
Kelvin Gastelum
Vicente Luque
Christopher Alvidrez
Francisco Prado
