fighter_name
Aljamain Sterling
Youssef Zalal
Norma Dumont
Joselyne Edwards
Rafa Garcia
Alexander Hernandez
Davey Grant
Juan Martinetti
Montel Jackson
Raoni Barcelos
Marcus Buchecha
Ryan Spann
Rodolfo Vieira
Eric McConico
Jackson McVey
Sedriques Dumas
Mayra Bueno Silva
Michelle Montague
Jafel Filho
Lucas Rocha
Talita Alencar
Julia Polastri
Max Griffin
Victor Valenzuela
