fighter_name
Khamzat Chimaev
Sean Strickland
Joshua Van
Tatsuro Taira
Alexander Volkov
Waldo Cortes-Acosta
Sean Brady
Joaquin Buckley
King Green
Jeremy Stephens
Jan Blachowicz
Bogdan Guskov
Ateba Gautier
Ozzy Diaz
Joel Alvarez
Yaroslav Amosov
Roman Kopylov
Marco Tulio
Clayton Carpenter
Jose Ochoa
Baisangur Susurkaev
Djorden Santos
