fighter_name
Song Yadong
Deiveson Figueiredo
Sergei Pavlovich
Tallison Teixeira
Zhang Mingyang
Alonzo Menifield
Alex Perez
Sumudaerji
Loma Lookboonmee
Jaqueline Amorim
Yi Sak Lee
Luis Felipe Dias
Rei Tsuruya
Jesus Aguilar
Aoriqileng
Cody Haddon
Muslim Salikhov
Jake Matthews
Kai Asakura
Cameron Smotherman
Angela Hill
Jingnan Xiong
