event_id,event_name,start_time,fighter_a,fighter_b,scheduled_rounds,is_title_fight,market,selection,book,american_odds,selection_name,odds_api_event_id,odds_source,snapshot_fallback_used,last_snapshot_time
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Shamil Gaziev,Brando Pericic,3.0,0,moneyline,fighter_b,fanduel,-106.0,Brando Pericic,5df097b38ef78a244dd9274d2ab025ce,live_api,0,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Shamil Gaziev,Brando Pericic,3.0,0,fight_goes_to_decision,fight_goes_to_decision,manual,,Fight goes to decision,,missing,0,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Shamil Gaziev,Brando Pericic,3.0,0,fight_doesnt_go_to_decision,fight_doesnt_go_to_decision,manual,,Fight doesn't go to decision,,missing,0,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Shamil Gaziev,Brando Pericic,3.0,0,inside_distance,fighter_a,manual,,Shamil Gaziev,,missing,0,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Shamil Gaziev,Brando Pericic,3.0,0,inside_distance,fighter_b,manual,,Brando Pericic,,missing,0,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Shamil Gaziev,Brando Pericic,3.0,0,by_decision,fighter_a,manual,,Shamil Gaziev,,missing,0,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Shamil Gaziev,Brando Pericic,3.0,0,by_decision,fighter_b,manual,,Brando Pericic,,missing,0,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Tai Tuivasa,Louie Sutherland,3.0,0,moneyline,fighter_a,fanduel,-220.0,Tai Tuivasa,6049085de42ddc0b1980dbcdcda70467,live_api,0,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Tai Tuivasa,Louie Sutherland,3.0,0,moneyline,fighter_b,fanduel,185.0,Louie Sutherland,6049085de42ddc0b1980dbcdcda70467,live_api,0,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Tai Tuivasa,Louie Sutherland,3.0,0,fight_goes_to_decision,fight_goes_to_decision,manual,,Fight goes to decision,,missing,0,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Tai Tuivasa,Louie Sutherland,3.0,0,fight_doesnt_go_to_decision,fight_doesnt_go_to_decision,manual,,Fight doesn't go to decision,,missing,0,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Tai Tuivasa,Louie Sutherland,3.0,0,inside_distance,fighter_a,manual,,Tai Tuivasa,,missing,0,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Tai Tuivasa,Louie Sutherland,3.0,0,inside_distance,fighter_b,manual,,Louie Sutherland,,missing,0,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Tai Tuivasa,Louie Sutherland,3.0,0,by_decision,fighter_a,manual,,Tai Tuivasa,,missing,0,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Tai Tuivasa,Louie Sutherland,3.0,0,by_decision,fighter_b,manual,,Louie Sutherland,,missing,0,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Cam Rowston,Robert Bryczek,3.0,0,moneyline,fighter_a,fanduel,-165.0,Cam Rowston,7bcb7fecc9f0abb2fa681739960a829c,live_api,0,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Cam Rowston,Robert Bryczek,3.0,0,moneyline,fighter_b,fanduel,145.0,Robert Bryczek,7bcb7fecc9f0abb2fa681739960a829c,live_api,0,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Cam Rowston,Robert Bryczek,3.0,0,fight_goes_to_decision,fight_goes_to_decision,manual,,Fight goes to decision,,missing,0,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Cam Rowston,Robert Bryczek,3.0,0,fight_doesnt_go_to_decision,fight_doesnt_go_to_decision,manual,,Fight doesn't go to decision,,missing,0,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Cam Rowston,Robert Bryczek,3.0,0,inside_distance,fighter_a,manual,,Cam Rowston,,missing,0,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Cam Rowston,Robert Bryczek,3.0,0,inside_distance,fighter_b,manual,,Robert Bryczek,,missing,0,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Cam Rowston,Robert Bryczek,3.0,0,by_decision,fighter_a,manual,,Cam Rowston,,missing,0,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Cam Rowston,Robert Bryczek,3.0,0,by_decision,fighter_b,manual,,Robert Bryczek,,missing,0,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Junior Tafa,Kevin Christian,3.0,0,moneyline,fighter_a,fanduel,-220.0,Junior Tafa,9b8a4523ec28a0c91297dd06ee3690fe,live_api,0,
