fighter_name
Jack Della Maddalena
Carlos Prates
Beneil Dariush
Quillan Salkilld
Tim Elliott
Steve Erceg
Shamil Gaziev
Brando Pericic
Tai Tuivasa
Louie Sutherland
Cam Rowston
Robert Bryczek
Junior Tafa
Kevin Christian
Jacob Malkoun
Gerald Meerschaert
Colby Thicknesse
Vince Morales
Ben Johnston
Wes Schultz
Jonathan Micallef
Themba Gorimbo
Dom Mar Fan
Kody Steele
